"SYMBOL","uniprot","kegg","ID","human_log2FoldChange","human_padj","human_sig","mouse_SYMBOL","mouse_log2FoldChange","mouse_padj","mouse_sig","sig"
"AADAT","Q4W5N8","51166","hsa00380",3.170637991,9.15e-05,"up","Aadat",-2.087992368,NA,NA,NA
"AASDHPPT","Q9NRN7","60496","hsa00770",3.332914552,2.07e-13,"up","Aasdhppt",1.977132693,7.74e-09,"up","same"
"ABAT","P80404","18","hsa00250",-2.101502514,0.011169663,"down","Abat",-2.496291284,2.65e-06,"down","same"
"ABO","A0A089QDC1","28","hsa00601",0.132077716,0.971582172,"none","Abo",1.913182514,0.048634452,"up","none"
"ACAA2","B3KNP8","10449","hsa00280",2.554244881,6.34e-07,"up","Acaa2",6.993622827,6.66e-59,"up","same"
"ACAD8","Q9UKU7","27034","hsa00280",1.969635201,0.000188808,"up","Acad8",1.991974423,1.56e-07,"up","same"
"ACADL","P28330","33","hsa00071",-6.39064316,0.026989385,"down","Acadl",7.180116475,1.99e-33,"up","diff"
"ACADM","A0A0S2Z366","34","hsa00280",6.105361748,1.44e-37,"up","Acadm",1.683168863,1.16e-10,"up","same"
"ACADSB","A0A0S2Z3P9","36","hsa00071",0.157097654,0.827733891,"none","Acadsb",-1.672456293,1.35e-10,"down","none"
"ACAT1","A0A140VJX1","38","hsa00650",2.535916418,7.21e-08,"up","Acat1",-2.41187751,2.05e-17,"down","diff"
"ACAT2","Q9BWD1","39","hsa00280",2.611569386,1.1e-07,"up","Acat2",3.090153865,1.82e-31,"up","same"
"ACHE","P22303","43","hsa00564",-3.408304153,0.004341366,"down","Ache",-6.698408113,0.011405208,"down","same"
"ACO1","P21399","48","hsa00630",1.891953656,0.00028904,"up","Aco1",3.077964475,1.76e-28,"up","same"
"ACO2","Q99798","50","hsa00020",1.241675444,0.008529961,"none","Aco2",2.163436068,2.4e-16,"up","none"
"ACOT1","E9KL42","641371","hsa00062",-0.916716483,0.620958817,"none","Acot3",-7.893032778,9.74e-27,"down","none"
"ACOT2","P49753","10965","hsa00062",-1.092316863,0.18604066,"none","Acot2",2.459976784,9.07e-05,"up","none"
"ACOT7","O00154","11332","hsa00062",4.03996915,9.51e-18,"up","Acot7",0.757351296,0.063200223,"none","none"
"ACOX1","Q15067","51","hsa00071",3.568963795,1.71e-12,"up","Acox1",-0.443847323,0.069349277,"none","none"
"ACSBG1","B3KNS7","23205","hsa00071",-5.666959097,0.000287309,"down","Acsbg1",7.347444195,9.03e-10,"up","diff"
"ACSL1","A8K9T3","2180","hsa00071",-2.124098511,0.005319053,"down","Acsl1",-1.883400728,3.77e-10,"down","same"
"ACSL5","Q9ULC5","51703","hsa00061",2.783453119,NA,NA,"Acsl5",3.995137375,8.79e-14,"up",NA
"ACSL6","B2RB13","23305","hsa00061",4.783471252,NA,NA,"Acsl6",3.521755707,2.07e-11,"up",NA
"ACSM5","Q6NUN0","54988","hsa00650",-5.036586665,0.178084867,"none","Acsm5",-7.372596647,0.000122918,"down","none"
"ACYP2","A0A140VJD7","98","hsa00620",2.265244851,0.043489205,"up","Acyp2",1.113172116,0.327872119,"none","none"
"ADA","A0A0S2Z381","100","hsa00230",0.981890961,0.073297566,"none","Ada",-1.766438842,0.000227496,"down","none"
"ADCY10","A0A0K0K1J8","55811","hsa00230",1.882351509,0.024784431,"up","Adcy10",-1.852854784,NA,NA,NA
"ADCY2","Q08462","108","hsa00230",-2.238827907,0.422574168,"none","Adcy2",-7.108221042,8.22e-18,"down","none"
"ADCY6","O43306","112","hsa00230",-6.206600007,0.003844309,"down","Adcy6",-0.798962892,0.37312895,"none","none"
"ADCY8","A0A0K0K1K3","114","hsa00230",-2.87170592,NA,NA,"Adcy8",-10.0948031,5.97e-16,"down",NA
"ADCY9","O60503","115","hsa00230",-5.1278735,4.69e-25,"down","Adcy9",-0.533618304,0.151081645,"none","none"
"ADH5","P11766","128","hsa00620",2.120305878,9.49e-07,"up","Adh5",-1.200912215,1.13e-05,"none","none"
"ADH7","P40394","131","hsa00071",-3.310401054,NA,NA,"Adh7",-5.779742732,0.000109769,"down",NA
"ADI1","Q9BV57","55256","hsa00270",4.790454213,4.1e-27,"up","Adi1",1.146678799,0.000739364,"none","none"
"ADPGK","Q9BRR6","83440","hsa00010",-1.887517779,1.28e-05,"down","Adpgk",0.599875953,0.067152453,"none","none"
"ADSL","P30566","158","hsa00230",2.236643433,0.000727391,"up","Adsl",-0.675756765,0.017068566,"none","none"
"AFMID","Q63HM1","125061","hsa00380",-2.532349113,7.58e-06,"down","Afmid",-1.192930467,0.130709627,"none","none"
"AGPAT1","A0A024RCV5","10554","hsa00564",-0.001280551,0.998952709,"none","Agpat1",-1.562442771,2.08e-06,"down","none"
"AGPAT3","Q9NRZ7","56894","hsa00561",-3.86478356,9.91e-05,"down","Agpat3",0.344384918,0.496733653,"none","none"
"AGPAT4","Q9NRZ5","56895","hsa00561",-3.635512409,2.47e-07,"down","Agpat4",4.454751634,1.38e-08,"up","diff"
"AGPAT5","A0A024R640","55326","hsa00564",1.538046486,0.003999893,"up","Agpat5",-1.416281587,0.000109858,"none","none"
"AHCY","P23526","191","hsa00270",2.30753516,2.74e-08,"up","Ahcy",6.693383719,2.82e-18,"up","same"
"AHCYL1","A0A024R0A8","10768","hsa00270",3.721502511,8.48e-17,"up","Ahcyl1",0.047558408,0.83986685,"none","none"
"AK1","P00568","203","hsa00230",-2.064923783,0.310306652,"none","Ak1",5.55651385,0.000331613,"up","none"
"AK2","A0A140VK93","204","hsa00230",2.118700711,3.07e-07,"up","Ak2",2.643974276,1.77e-12,"up","same"
"AK3","Q7Z4Y4","50808","hsa00230",1.305593392,0.077251766,"none","Ak3",1.956707791,0.001432199,"up","none"
"AK5","Q9Y6K8","26289","hsa00230",-0.743543635,0.276658223,"none","Ak5",-3.862013435,1.54e-07,"down","none"
"AK6","Q9Y3D8","102157402","hsa00230",1.859373783,1.43e-05,"up","Ak6",-0.740629766,0.076833402,"none","none"
"AK9","Q5TCS8","221264","hsa00240",-3.113120832,0.000621463,"down","Ak9",-1.01968576,0.155362832,"none","none"
"AKR1A1","P14550","10327","hsa00561",3.550934399,2.58e-17,"up","Akr1a1",2.336227743,1.07e-33,"up","same"
"AKR1B10","O60218","57016","hsa00052",-4.561780703,0.021461078,"down","Akr1b8",5.605237809,1.23e-47,"up","diff"
"AKR1C1","Q04828","1645","hsa00140",4.103403955,NA,NA,"Akr1c21",4.131913593,0.001983932,"up",NA
"ALDH18A1","P54886","5832","hsa00330",-0.923592308,0.113008694,"none","Aldh18a1",-2.201819396,1.24e-16,"down","none"
"ALDH1B1","P30837","219","hsa00280",3.463939794,3.66e-07,"up","Aldh1b1",0.276528136,0.863176211,"none","none"
"ALDH2","P05091","217","hsa00770",3.622725091,4.44e-14,"up","Aldh2",0.896156031,0.038757786,"none","none"
"ALDH3A2","P51648","224","hsa00330",3.403652778,3.27e-08,"up","Aldh3a2",1.930358055,2.79e-09,"up","same"
"ALDH5A1","P51649","7915","hsa00650",-3.004312656,0.000108917,"down","Aldh5a1",-3.164285905,6.74e-05,"down","same"
"ALDH6A1","A0A024R6G4","4329","hsa00562",2.275734775,0.001404481,"up","Aldh6a1",-0.546440587,0.241891765,"none","none"
"ALDH8A1","Q9H2A2","64577","hsa00380",-5.325344659,0.002964798,"down","Aldh8a1",-6.621409542,0.003100025,"down","same"
"ALDOA","P04075","226","hsa00010",0.115900881,0.895055088,"none","Aldoa",3.365743951,2.24e-21,"up","none"
"AMD1","A0A088AWN0","262","hsa00330",-1.187086074,0.027591759,"none","Amd1",-1.542208208,1.33e-14,"down","none"
"AMDHD2","Q9Y303","51005","hsa00520",-0.11858836,0.87061066,"none","Amdhd2",2.73619564,4.34e-10,"up","none"
"AMPD1","P23109","270","hsa00230",-7.119392106,0.002230108,"down","Ampd1",-2.735316667,0.000308738,"down","same"
"AMPD3","Q01432","272","hsa00230",-3.793135451,0.000335038,"down","Ampd3",-11.0837778,1.33e-52,"down","same"
"AOC2","O75106","314","hsa00260",0.765622794,0.43947638,"none","Aoc2",-3.14739752,0.00188231,"down","none"
"APIP","Q96GX9","51074","hsa00270",4.651000186,1.75e-22,"up","Apip",-1.068365024,0.00412803,"none","none"
"APRT","P07741","353","hsa00230",4.419707451,7.12e-23,"up","Aprt",1.551856375,1.51e-10,"up","same"
"ARG1","P05089","383","hsa00330",6.53876233,0.016239061,"up","Arg1",-0.357392126,0.442105772,"none","none"
"ASNS","P08243","440","hsa00250",0.173431335,0.95189044,"none","Asns",4.881556573,1.05e-15,"up","none"
"ASPA","P45381","443","hsa00250",7.737716392,0.000280299,"up","Aspa",6.740805552,5.2e-16,"up","same"
"ASRGL1","A0A024R573","80150","hsa00250",4.130021533,7.5e-23,"up","Asrgl1",1.11259205,0.231848246,"none","none"
"ASS1","P00966","445","hsa00250",2.775370432,4.26e-05,"up","Ass1",7.20995468,5.44e-86,"up","same"
"ATIC","P31939","471","hsa00230",3.325946508,2.03e-16,"up","Atic",0.821547465,1e-06,"none","none"
"ATP12A","B4E0R9","479","hsa00190",9.346030935,1.35e-07,"up","Atp12a",3.742209425,1.21e-07,"up","same"
"ATP6V0A2","Q9Y487","23545","hsa00190",1.840399921,0.001582635,"up","Atp6v0a2",-2.42191067,2.01e-19,"down","diff"
"ATP6V1A","P38606","523","hsa00190",3.625771468,5.6e-14,"up","Atp6v1a",1.659063607,2.05e-17,"up","same"
"ATP6V1C2","Q8NEY4","245973","hsa00190",1.726900785,0.001613093,"up","Atp6v1c2",-2.42685108,0.031775427,"down","diff"
"ATP6V1E1","P36543","529","hsa00190",1.891138077,1.03e-05,"up","Atp6v1e1",1.076862539,0.001364591,"none","none"
"ATP6V1F","A4D1K0","9296","hsa00190",2.014681385,1.43e-05,"up","Atp6v1f",2.322500106,5.81e-05,"up","same"
"B3GALT1","Q9Y5Z6","8708","hsa00601",3.223481145,NA,NA,"B3galt1",-5.758121354,0.001636949,"down",NA
"B3GALT2","O43825","8707","hsa00601",-1.317284204,NA,"none","B3galt2",3.04997418,1.21e-10,"up","none"
"B3GNT2","Q9NY97","10678","hsa00601",-5.144788797,1.64e-35,"down","B3gnt2",-5.700139517,1.67e-05,"down","same"
"B3GNT3","Q9Y2A9","10331","hsa00601",-5.46074529,0.104480002,"none","B3gnt3",2.347135577,0.003301986,"up","none"
"B3GNT5","Q9BYG0","84002","hsa00601",-1.107958999,0.276662594,"none","B3gnt5",7.068389578,1.52e-20,"up","none"
"B3GNT7","Q8NFL0","93010","hsa00533",4.197610672,0.000377575,"up","B3gnt7",1.038437469,0.016789144,"none","none"
"B4GALNT2","Q8NHY0","124872","hsa00601",-4.085891829,0.054785409,"none","B4galnt2",-4.949809628,5.13e-20,"down","none"
"B4GALT1","P15291","2683","hsa00601",-2.503343311,5.69e-08,"down","B4galt1",2.441872985,1.14e-07,"up","diff"
"B4GALT2","O60909","8704","hsa00052",0.847124087,0.266547567,"none","B4galt2",-3.906602153,2e-07,"down","none"
"B4GALT4","B2RAZ5","8702","hsa00601",0.448201392,0.393117907,"none","B4galt4",-6.326761103,8.62e-20,"down","none"
"BCKDHB","A0A140VKB3","594","hsa00280",-0.913297142,0.296123981,"none","Bckdhb",2.407073378,3.2e-09,"up","none"
"BDH1","Q02338","622","hsa00650",-3.132084234,4.55e-05,"down","Bdh1",-0.556379373,0.252902697,"none","none"
"BHMT","Q93088","635","hsa00270",2.581650896,0.000141398,"up","Bhmt",6.679986397,3.48e-59,"up","same"
"BPGM","A0A024R782","669","hsa00260",-2.251065063,3.03e-07,"down","Bpgm",-7.139471561,2.91e-101,"down","same"
"CAT","P04040","847","hsa00630",4.799493629,6.7e-09,"up","Cat",4.757866151,1.36e-28,"up","same"
"CBR4","Q8N4T8","84869","hsa00061",2.284100424,0.000182703,"up","Cbr4",3.600934094,1.03e-08,"up","same"
"CDA","P32320","978","hsa00983",2.522034515,5.21e-05,"up","Cda",-6.238809617,0.001136365,"down","diff"
"CDO1","Q16878","1036","hsa00270",6.081190389,9.87e-11,"up","Cdo1",-6.101809664,5.41e-71,"down","diff"
"CDS2","O95674","8760","hsa00564",-2.062040648,1.31e-05,"down","Cds2",2.236218372,7.15e-12,"up","diff"
"CHAC2","Q8WUX2","494143","hsa00480",11.05355183,1.71e-11,"up","Chac2",-0.546250056,0.598647437,"none","none"
"CHIT1","Q13231","1118","hsa00520",0.188071737,NA,"none","Chit1",-3.938618738,7.19e-11,"down","none"
"CHPT1","Q8WUD6","56994","hsa00564",4.057320817,9.12e-17,"up","Chpt1",2.457529702,4.23e-15,"up","same"
"CHST2","Q9Y4C5","9435","hsa00533",2.383739866,6.73e-07,"up","Chst2",2.418969906,0.033814737,"up","same"
"CHST6","Q9GZX3","4166","hsa00533",-4.541301948,0.004147023,"down","Chst5",-5.988569596,0.021414597,"down","same"
"CKB","P12277","1152","hsa00330",3.177791389,2.62e-10,"up","Ckb",2.702858456,1.11e-11,"up","same"
"CKMT1A","P12532","1159","hsa00330",3.84949823,0.002650614,"up","Ckmt1",6.058451745,5.62e-33,"up","same"
"CMAS","Q8NFW8","55907","hsa00520",3.606587711,1.32e-13,"up","Cmas",-1.474400757,7.16e-07,"none","none"
"CNDP1","Q96KN2","84735","hsa00330",1.006605137,0.588710691,"none","Cndp1",-3.371806027,0.00436722,"down","none"
"CNDP2","Q96KP4","55748","hsa00410",3.387351399,1.35e-09,"up","Cndp2",4.223257238,3.24e-56,"up","same"
"COMT","A0A140VJG8","1312","hsa00140",-2.044300373,0.00850825,"down","Comt",4.677283154,6.58e-13,"up","diff"
"COX10","Q12887","1352","hsa00190",0.457476879,0.384428004,"none","Cox10",-1.895482253,5.61e-07,"down","none"
"COX11","B4DEY8","1353","hsa00190",3.915342473,4.19e-19,"up","Cox11",-0.592036308,0.20093343,"none","none"
"COX17","Q14061","10063","hsa00190",0.482675826,0.361905892,"none","Cox17",4.997132829,5.22e-30,"up","none"
"COX4I2","H6SG14","84701","hsa00190",-6.425586705,2.74e-17,"down","Cox4i2",-5.714446825,0.002656836,"down","same"
"COX5A","P20674","9377","hsa00190",3.069256867,1.27e-14,"up","Cox5a",1.611006136,5.99e-11,"up","same"
"COX6A1","H6SG15","1337","hsa00190",0.184109139,0.717263268,"none","Cox6a1",2.067608012,3.77e-14,"up","none"
"COX6B1","P14854","1340","hsa00190",1.80786223,1.77e-05,"up","Cox6b1",2.611358363,4.79e-17,"up","same"
"COX6B2","Q6YFQ2","125965","hsa00190",-9.509831392,3.57e-08,"down","Cox6b2",-3.063674461,1.37e-08,"down","same"
"COX7A2","H0UI06","1347","hsa00190",1.581841403,0.000182156,"up","Cox7a2",1.794174258,3.68e-09,"up","same"
"COX7A2L","O14548","9167","hsa00190",0.690461762,0.177306981,"none","Cox7a2l",4.113398195,4.38e-27,"up","none"
"COX7B","P24311","1349","hsa00190",1.295387369,0.002093686,"none","Cox7b",2.3505335,3.27e-12,"up","none"
"CPT2","A0A140VK13","1376","hsa00071",2.32492076,0.001692177,"up","Cpt2",2.967987805,3.72e-16,"up","same"
"CTH","P32929","1491","hsa00270",12.5897948,2.77e-15,"up","Cth",-0.616108771,0.007723167,"none","none"
