"SYMBOL","uniprot","kegg","ID","human_log2FoldChange","human_padj","human_sig","mouse_SYMBOL","mouse_log2FoldChange","mouse_padj","mouse_sig","sig"
"GART","P22102","2618","hsa00230",2.641308466,3.23e-07,"up","Gart",2.730425103,2.05e-17,"up","same"
"GATM","A0A140VK19","2628","hsa00330",-3.932973189,2.4e-08,"down","Gatm",-1.939855769,0.269804732,"none","none"
"GCAT","A8K228","23464","hsa00260",-1.953767264,9.22e-05,"down","Gcat",4.858687847,2.09e-05,"up","diff"
"GCK","P35557","2645","hsa00520",-2.661492655,0.011345008,"down","Gck",-3.782115688,0.022599626,"down","same"
"GCLM","P48507","2730","hsa00270",4.64770378,1.81e-13,"up","Gclm",1.537277468,1.21e-08,"up","same"
"GCNT2","Q8N0V5","2651","hsa00601",5.315654223,1.77e-06,"up","Gcnt2",-0.757269166,0.096515927,"none","none"
"GCSH","P23434","2653","hsa00260",1.198816537,0.259363817,"none","Gcsh",-2.008427306,1.32e-10,"down","none"
"GFPT2","A0A0S2Z4X9","9945","hsa00250",-0.093725482,0.939176426,"none","Gfpt2",-2.865781174,0.008176916,"down","none"
"GGCT","A0A090N7V5","79017","hsa00480",2.710995097,1.21e-07,"up","Ggct",-4.691507398,2.05e-16,"down","diff"
"GGT1","A0A140VJJ9","2678","hsa00480",0.272725367,NA,"none","Ggt1",5.834283981,2.12e-32,"up","none"
"GGT7","A0PJJ9","2686","hsa00480",-1.347367676,0.290182178,"none","Ggt7",-5.719469636,0.003324733,"down","none"
"GLDC","P23378","2731","hsa00260",5.732821961,1.47e-31,"up","Gldc",1.709471424,1.66e-07,"up","same"
"GLO1","Q04760","2739","hsa00620",2.548969949,7.09e-08,"up","Glo1",3.146406911,4.9e-14,"up","same"
"GMPPB","Q9Y5P6","29925","hsa00520",2.074506179,1.57e-05,"up","Gmppb",3.882452653,0.000110256,"up","same"
"GNE","Q9Y223","10020","hsa00520",2.317558735,0.028552586,"up","Gne",-0.622818292,0.101792457,"none","none"
"GNPDA1","P46926","10007","hsa00520",3.065899146,1.97e-09,"up","Gnpda1",3.252158795,2.05e-34,"up","same"
"GOT1","A0A140VK69","2805","hsa00270",1.955615888,0.000217975,"up","Got1",2.763930207,3.21e-20,"up","same"
"GOT1L1","Q8NHS2","137362","hsa00330",-2.895941812,NA,NA,"Got1l1",3.719426773,1.9e-09,"up",NA
"GOT2","P00505","2806","hsa00270",3.457575494,1.15e-17,"up","Got2",1.608084013,7.85e-06,"up","same"
"GPAM","Q86T70","57678","hsa00561",-1.321799641,0.032326882,"none","Gpam",1.829491961,0.005549002,"up","none"
"GPD1","A0A024R138","2819","hsa00564",-5.750796285,0.009193255,"down","Gpd1",-2.867913474,0.029257109,"down","same"
"GPD1L","Q8N335","23171","hsa00564",-1.110253701,0.134664649,"none","Gpd1l",-2.131098695,9.23e-18,"down","none"
"GPD2","P43304","2820","hsa00564",-0.613564543,0.2231902,"none","Gpd2",2.603406592,2.19e-33,"up","none"
"GPX1","P07203","2876","hsa00480",0.322055503,0.556173275,"none","Gpx1",2.331259244,8.53e-13,"up","none"
"GPX2","P18283","2877","hsa00480",8.752696569,3.73e-60,"up","Gpx2",8.287753413,1.62e-13,"up","same"
"GPX3","P22352","2878","hsa00480",1.782611674,0.025874255,"up","Gpx3",-3.535617772,1.91e-15,"down","diff"
"GPX4","P36969","2879","hsa00480",1.564089317,0.000696502,"up","Gpx4",1.967565007,1.05e-06,"up","same"
"GPX5","O75715","2880","hsa00480",-2.484531716,NA,NA,"Gpx5",4.739163802,0.049596068,"up",NA
"GRHPR","Q9UBQ7","9380","hsa00630",1.489342719,0.002087092,"none","Grhpr",2.472276565,8.99e-06,"up","none"
"GSR","P00390","2936","hsa00480",1.468283423,0.006099798,"none","Gsr",3.221421192,1.41e-18,"up","none"
"GSS","P48637","2937","hsa00480",2.432047104,0.206971279,"none","Gss",4.961543548,4e-73,"up","none"
"GSTK1","Q6FII1","373156","hsa00480",1.518132091,0.006761262,"up","Gstk1",1.667544523,0.244203064,"none","none"
"GSTM1","P09488","2944","hsa00480",-2.484531716,NA,NA,"Gstm2",4.985511166,0.022680968,"up",NA
"GSTM3","P21266","2947","hsa00980",-1.849770837,0.000823524,"down","Gstm5",-4.596311143,1.52e-06,"down","same"
"GSTM4","A0A140VKE3","2948","hsa00983",4.491943732,0.023452315,"up","Gstm4",6.198487988,0.000169744,"up","same"
"GSTM5","P46439","2949","hsa00980",-1.560880909,NA,NA,"Gstm1",3.004304567,3.04e-06,"up",NA
"GSTO1","P78417","9446","hsa00480",4.90580439,5.37e-18,"up","Gsto1",4.635442205,2.81e-30,"up","same"
"GSTO2","Q9H4Y5","119391","hsa00480",1.151659275,0.445660584,"none","Gsto2",-5.508894191,7.41e-10,"down","none"
"GSTP1","P09211","2950","hsa00980",5.795487297,1.83e-51,"up","Gstp1",2.882124918,6.37e-10,"up","same"
"GUCY1A2","P33402","2977","hsa00230",-2.883975634,0.001764516,"down","Gucy1a2",-5.333722817,0.000172171,"down","same"
"GUCY2C","P25092","2984","hsa00230",-5.037766902,0.177410876,"none","Gucy2c",-7.06175009,1.28e-06,"down","none"
"GUCY2D","Q02846","3000","hsa00230",-4.709886375,0.082342552,"none","Gucy2e",-2.739118669,1.3e-10,"down","none"
"GUSB","P08236","2990","hsa00983",-1.472156237,0.015689777,"none","Gusb",3.097174684,6.42e-11,"up","none"
"H6PD","O95479","9563","hsa00030",-3.216656536,0.011349569,"down","H6pd",4.215645602,7.63e-11,"up","diff"
"HADHA","E9KL44","3030","hsa00280",2.179724804,8.64e-07,"up","Hadha",2.994083537,4.62e-33,"up","same"
"HDDC2","A0A140VJK7","51020","hsa00240",2.660418046,1.94e-09,"up","Hddc2",4.595235742,1.46e-08,"up","same"
"HDDC3","Q8N4P3","374659","hsa00230",3.914028726,3.18e-10,"up","Hddc3",1.932815207,0.140487846,"none","none"
"HEXA","A0A0S2Z3W3","3073","hsa00520",-0.598580174,0.392668307,"none","Hexa",6.308676747,1.04e-48,"up","none"
"HIBADH","A0A024RA75","11112","hsa00280",1.693826278,0.015472282,"up","Hibadh",0.126869814,0.724233364,"none","none"
"HIBCH","A0A140VJL0","26275","hsa00640",1.511045588,0.003725201,"up","Hibch",4.141436364,1.99e-16,"up","same"
"HK2","P52789","3099","hsa00010",-2.274393579,5.72e-08,"down","Hk2",2.767863208,2.64e-12,"up","diff"
"HKDC1","B3KT70","80201","hsa00052",-3.031267537,NA,NA,"Hkdc1",3.522106683,0.008199107,"up",NA
"HMGCL","P35914","3155","hsa00650",0.550560225,0.431843741,"none","Hmgcl",2.028992241,1.49e-09,"up","none"
"HMGCS2","A0A140VJL2","3158","hsa00280",3.365180318,NA,NA,"Hmgcs2",4.317628345,0.038970391,"up",NA
"HPGDS","O60760","27306","hsa00480",4.597844816,NA,NA,"Hpgds",2.576039491,0.000335385,"up",NA
"HSD11B2","P80365","3291","hsa00140",6.429337202,0.021736391,"up","Hsd11b2",3.974222087,0.000421938,"up","same"
"HSD17B10","A0A0S2Z410","3028","hsa00280",2.558507531,3.24e-09,"up","Hsd17b10",4.003958522,7.81e-16,"up","same"
"HSD17B11","Q8NBQ5","51170","hsa00140",4.440195106,4.1e-07,"up","Hsd17b11",7.392458004,2.29e-10,"up","same"
"HSD17B4","A0A0S2Z4J1","3295","hsa01040",2.738649645,1.34e-08,"up","Hsd17b4",3.500227401,3.1e-18,"up","same"
"HSD3B1","P14060","3283","hsa00140",8.175448476,1.14e-10,"up","Hsd3b6",-5.542922895,0.089507609,"none","none"
"IDH1","O75874","3417","hsa00480",4.850882963,3.46e-33,"up","Idh1",4.283303212,4.98e-49,"up","same"
"IDH3A","P50213","3419","hsa00020",3.46791774,2.4e-10,"up","Idh3a",1.219614709,9.17e-06,"none","none"
"IMPA2","O14732","3613","hsa00562",3.858684337,3.36e-14,"up","Impa2",1.388465751,4.13e-05,"none","none"
"IMPDH2","P12268","3615","hsa00983",-3.977297362,0.026388036,"down","Impdh2",0.871988048,0.00045798,"none","none"
"INPP1","P49441","3628","hsa00562",-1.747839849,0.151139763,"none","Inpp1",2.949857899,0.000687325,"up","none"
"INPP5D","Q92835","3635","hsa00562",3.944453098,6.09e-10,"up","Inpp5d",2.693142758,2.2e-15,"up","same"
"INPP5F","Q9Y2H2","22876","hsa00562",-0.977359308,0.031450163,"none","Inpp5f",-2.046918397,7.92e-12,"down","none"
"INPPL1","O15357","3636","hsa00562",2.642844717,3.72e-05,"up","Inppl1",-1.340770472,9.71e-05,"none","none"
"IPMK","Q8NFU5","253430","hsa00562",1.473206642,0.003136034,"none","Ipmk",-3.585586244,1.21e-60,"down","none"
"IPPK","Q9H8X2","64768","hsa00562",-1.223791329,0.077374699,"none","Ippk",-2.017403068,1.14e-18,"down","none"
"ISYNA1","A0A140VK73","51477","hsa00562",2.571301899,1.49e-08,"up","Isyna1",3.756946438,1.89e-15,"up","same"
"ITPA","A0A0S2Z3W7","3704","hsa00983",2.926512419,1.01e-09,"up","Itpa",1.550088719,1.78e-07,"up","same"
"ITPKA","P23677","3706","hsa00562",-1.700285363,0.021233813,"down","Itpka",6.188505989,0.000109598,"up","diff"
"IVD","A0A0A0MT83","3712","hsa00280",1.549361865,0.003312411,"up","Ivd",-1.603170319,5.03e-06,"down","diff"
"KYNU","Q16719","8942","hsa00380",1.216272789,0.332497892,"none","Kynu",-7.360577959,3.27e-07,"down","none"
"L2HGDH","Q9H9P8","79944","hsa00650",3.18238335,7.36e-08,"up","L2hgdh",0.800252983,0.026713639,"none","none"
"LACC1","Q8IV20","144811","hsa00270",-4.508620514,4.84e-11,"down","Lacc1",6.391021042,4.61e-05,"up","diff"
"LAP3","P28838","51056","hsa00330",1.518549132,0.003640249,"up","Lap3",3.905960145,2.29e-25,"up","same"
"LDHA","P00338","3939","hsa00010",1.722591356,0.006156167,"up","Ldha",-2.636764507,2.04e-08,"down","diff"
"LDHB","P07195","3945","hsa00270",4.771566813,2.73e-29,"up","Ldhb",-7.13705358,1.06e-07,"down","diff"
"LDHC","A0A140VKA7","3948","hsa00640",-4.380338479,5.84e-08,"down","Ldhc",-5.047265081,8.66e-09,"down","same"
"LDHD","Q86WU2","197257","hsa00620",-5.193305284,0.149561724,"none","Ldhd",-4.764425772,5.06e-10,"down","none"
"LPCAT2","Q7L5N7","54947","hsa00564",-1.781957919,0.013582038,"down","Lpcat2",-6.700920299,6.21e-20,"down","same"
"LPCAT3","Q6P1A2","10162","hsa00564",0.551150774,0.599789163,"none","Lpcat3",4.577523267,2.51e-35,"up","none"
"LPCAT4","Q643R3","254531","hsa00564",-1.754046608,0.000133647,"down","Lpcat4",-1.295877803,0.000472713,"none","none"
"LPIN1","Q14693","23175","hsa00561",2.186706518,2.55e-05,"up","Lpin1",1.459721609,0.004685078,"none","none"
"LPIN2","Q92539","9663","hsa00564",-1.035412308,0.058828782,"none","Lpin2",-3.105391834,2.67e-32,"down","none"
"LPIN3","Q9BQK8","64900","hsa00564",-1.068192275,0.40366991,"none","Lpin3",2.486277174,0.003022433,"up","none"
"LPL","A0A1B1RVA9","4023","hsa00561",-4.192140588,0.024672656,"down","Lpl",-4.101247382,1.18e-08,"down","same"
"LYPLA2","A0A140VJC9","11313","hsa00564",5.059325897,1.81e-34,"up","Lypla2",1.682397408,0.010918954,"up","same"
"MAT1A","Q00266","4143","hsa00270",-5.000713662,0.004296132,"down","Mat1a",-9.007043957,4.73e-12,"down","same"
"MAT2B","A0A140VJP2","27430","hsa00270",1.840856747,0.000170945,"up","Mat2b",-4.115907634,5.22e-44,"down","diff"
"MBOAT1","Q6ZNC8","154141","hsa00564",3.889122113,0.011272467,"up","Mboat1",10.04292625,1.95e-21,"up","same"
"MBOAT7","Q96N66","79143","hsa00564",1.979506286,0.000306741,"up","Mboat7",1.380744918,0.000483499,"none","none"
"MCAT","Q8IVS2","27349","hsa00061",0.835666981,0.114289639,"none","Mcat",2.467665849,4.29e-05,"up","none"
"MCCC1","A0A0S2Z693","56922","hsa00280",2.275875161,0.01440981,"up","Mccc1",3.734185023,2.48e-31,"up","same"
"MCCC2","A0A140VK29","64087","hsa00280",2.541955038,3.95e-08,"up","Mccc2",2.50079933,3.37e-09,"up","same"
"MCEE","Q96PE7","84693","hsa00630",2.020472848,0.013991634,"up","Mcee",1.430760268,0.106656231,"none","none"
"MDH1","P40925","4190","hsa00620",5.389091512,6.91e-42,"up","Mdh1",2.649929994,1.3e-19,"up","same"
"MDH2","A0A024R4K3","4191","hsa00270",4.208503813,3e-27,"up","Mdh2",1.751294178,4.62e-15,"up","same"
"ME2","P23368","4200","hsa00620",3.481685834,4.54e-13,"up","Me2",-0.799513225,0.000554426,"none","none"
"MECR","Q9BV79","51102","hsa00062",3.259177446,4.14e-12,"up","Mecr",2.734705809,2.25e-05,"up","same"
"MGST2","Q99735","4258","hsa00980",-1.530945423,0.006972071,"down","Mgst2",7.51233215,1.24e-10,"up","diff"
"MINPP1","Q9UNW1","9562","hsa00562",-1.94068588,0.000342904,"down","Minpp1",0.405272356,0.135042948,"none","none"
"MIOX","Q9UGB7","55586","hsa00562",-2.038554185,NA,NA,"Miox",-6.970276697,0.000152804,"down",NA
"MLYCD","O95822","23417","hsa00410",-0.110468305,0.91283325,"none","Mlycd",2.214170328,0.042923162,"up","none"
"MPO","P05164","4353","hsa00983",0.545642603,NA,"none","Mpo",-5.925840464,0.017551145,"down","none"
"MPST","A0A140VJX3","4357","hsa00270",2.518590564,7.16e-07,"up","Mpst",-0.609050303,0.37144946,"none","none"
"MRI1","Q9BV20","84245","hsa00270",3.399802496,0.010051524,"up","Mri1",1.18518635,0.026364475,"none","none"
"MTAP","Q13126","4507","hsa00270",3.67053042,4.38e-10,"up","Mtap",0.510920054,0.162147051,"none","none"
"MTMR14","Q8NCE2","64419","hsa00562",0.270108574,0.674825359,"none","Mtmr14",-4.539715041,2.41e-35,"down","none"
"MTMR6","Q9Y217","9107","hsa00562",2.835575104,0.000913221,"up","Mtmr6",-1.495132881,0.000603722,"none","none"
"NAT2","A4Z6T7","10","hsa00983",-7.593043765,0.000433419,"down","Nat1",6.566945431,3.82e-06,"up","diff"
"NAT8L","Q8N9F0","339983","hsa00250",1.185809333,0.526308502,"none","Nat8l",-4.733018877,9.55e-05,"down","none"
"ND3","P03897","4537","hsa00190",-1.642594155,0.004073112,"down","ND3",-3.306235175,0.054641011,"none","none"
"ND4L","P03901","4539","hsa00190",0.033581195,0.963410009,"none","ND4L",-3.268832742,0.013113417,"down","none"
"ND6","P03923","4541","hsa00190",-0.213657696,0.739084863,"none","ND6",-1.5036922,0.012183041,"down","none"
"NDUFA1","O15239","4694","hsa00190",0.761619469,0.092834081,"none","Ndufa1",2.771481612,0.000262514,"up","none"
"NDUFA11","Q86Y39","126328","hsa00190",2.460544443,1.27e-07,"up","Ndufa11",0.707273557,0.04860084,"none","none"
"NDUFA12","Q9UI09","55967","hsa00190",3.390224019,2.4e-13,"up","Ndufa12",4.345379638,1.36e-15,"up","same"
"NDUFA13","Q9P0J0","51079","hsa00190",0.456425461,0.570852596,"none","Ndufa13",2.473016404,4.41e-15,"up","none"
"NDUFA3","O95167","4696","hsa00190",0.224031444,0.685703696,"none","Ndufa3",5.030132838,2.24e-34,"up","none"
"NDUFA6","P56556","4700","hsa00190",0.547895412,0.281902936,"none","Ndufa6",2.19725234,1.31e-08,"up","none"
"NDUFA7","O95182","4701","hsa00190",1.218106265,0.598054316,"none","Ndufa7",2.453349532,6.33e-11,"up","none"
"NDUFA9","Q16795","4704","hsa00190",2.629845231,1.43e-07,"up","Ndufa9",1.925541896,1.36e-17,"up","same"
"NDUFAB1","O14561","4706","hsa00190",1.937668899,2.94e-06,"up","Ndufab1",0.572138703,0.059093373,"none","none"
"NDUFB10","A8K761","4716","hsa00190",1.623689602,0.000160369,"up","Ndufb10",3.156474801,2.63e-10,"up","same"
"NDUFB2","A4D1T5","4708","hsa00190",2.336690749,3.99e-08,"up","Ndufb2",0.611775248,0.362886105,"none","none"
"NDUFB4","O95168","4710","hsa00190",1.734668047,0.000413484,"up","Ndufb4",4.964007495,4.79e-20,"up","same"
"NDUFB7","P17568","4713","hsa00190",1.076636686,0.035204148,"none","Ndufb7",3.224403329,4.9e-12,"up","none"
"NDUFB8","O95169","4714","hsa00190",1.098850394,0.045681259,"none","Ndufb8",3.124903549,5.76e-09,"up","none"
"NDUFC1","O43677","4717","hsa00190",2.052731794,2.34e-06,"up","Ndufc1",3.388075584,6.64e-28,"up","same"
"NDUFS1","E5KRK5","4719","hsa00190",3.483639275,9.45e-15,"up","Ndufs1",2.905535032,6.12e-08,"up","same"
"NDUFS3","O75489","4722","hsa00190",2.60580528,3.34e-10,"up","Ndufs3",3.377330912,3.89e-13,"up","same"
"NDUFS4","A0A0S2Z433","4724","hsa00190",1.820553534,0.00030188,"up","Ndufs4",3.23668982,4.54e-33,"up","same"
"NDUFS6","O75380","4726","hsa00190",3.545204313,2.99e-16,"up","Ndufs6",6.264214967,1.92e-19,"up","same"
"NDUFS7","O75251","374291","hsa00190",3.06199587,2.67e-11,"up","Ndufs7",5.627620981,3.26e-38,"up","same"
"NDUFS8","O00217","4728","hsa00190",2.282053496,1.17e-07,"up","Ndufs8",1.201704503,0.000895371,"none","none"
"NDUFV1","E5KNH5","4723","hsa00190",1.395413242,0.001461152,"none","Ndufv1",2.594918406,5.43e-07,"up","none"
"NDUFV2","P19404","4729","hsa00190",-1.083109796,0.227772432,"none","Ndufv2",2.240001929,8.35e-21,"up","none"
"NDUFV3","P56181","4731","hsa00190",2.236632579,7.47e-06,"up","Ndufv3",1.705213892,1.8e-06,"up","same"
"NIT2","Q9NQR4","56954","hsa00250",3.852681481,1.28e-18,"up","Nit2",1.273165091,0.032144169,"none","none"
"NME1","P15531","4830","hsa00240",4.34664673,1.51e-24,"up","Nme1",3.793695512,2.24e-42,"up","same"
"NOS1","A0PJJ7","4842","hsa00330",-3.718529427,0.291996786,"none","Nos1",-2.777317719,5.93e-28,"down","none"
"NPR1","A0A140VJE6","4881","hsa00230",-5.557387568,0.085294131,"none","Npr1",2.536263882,6.59e-05,"up","none"
"NPR2","P20594","4882","hsa00230",-3.672310928,0.345770362,"none","Npr2",5.894136115,2.6e-13,"up","none"
"NT5C","Q8TCD5","30833","hsa00230",2.191712243,0.000925619,"up","Nt5c",4.615341257,0.028959167,"up","same"
"NT5C1A","Q9BXI3","84618","hsa00230",-7.580623451,3.22e-05,"down","Nt5c1a",-5.294213306,0.052409976,"none","none"
"NT5C3B","Q969T7","115024","hsa00240",3.78045332,1.1e-14,"up","Nt5c3b",1.535296415,4.43e-05,"up","same"
